timestep,reward,resulting_max_loading,mw_amount,converged
1,9.784219741821289,15.975348922477114,64.73409271240234,True
2,-178.79971313476562,159.73136840312324,122.36775970458984,True
3,9.938936233520508,19.431131737846787,18.319236755371094,True
4,9.554523468017578,34.40319383446123,133.64297485351562,True
5,9.10828971862793,21.41084372010403,267.5130310058594,True
6,9.461143493652344,33.22921705995437,161.65695190429688,True
7,9.657560348510742,14.21300048291517,102.73200225830078,True
8,9.139147758483887,9.703884091137398,258.255615234375,True
9,9.602703094482422,33.46847073361238,119.18901824951172,True
10,9.270190238952637,17.021955951307188,218.94302368164062,True
11,9.934486389160156,22.054050298135614,19.654216766357422,True
12,9.193876266479492,27.948143973971813,241.8370819091797,True
13,9.919211387634277,14.001280245762688,24.236682891845703,True
14,9.530048370361328,11.37498782820817,140.98541259765625,True
15,9.399222373962402,23.29706803943865,180.23316955566406,True
16,9.736531257629395,15.347308628627443,79.04051208496094,True
17,9.331631660461426,29.25259914184297,200.51051330566406,True
18,9.014734268188477,21.050270436265148,295.57958984375,True
19,9.876465797424316,16.694374156989376,37.060306549072266,True
20,9.95212459564209,29.76205099385013,14.362504959106445,True
21,9.442424774169922,68.36843742096504,167.27243041992188,True
22,9.562902450561523,18.364344054852772,131.12928771972656,True
23,9.129592895507812,20.532517679182007,261.1220397949219,True
24,9.857281684875488,24.809966516341746,42.81560134887695,True
25,9.41551685333252,18.497236734587954,175.3449249267578,True
26,9.081575393676758,62.508273610644785,275.5273132324219,True
27,9.138505935668945,70.32271669889386,258.4482116699219,True
28,9.985593795776367,95.2578070559397,4.321923732757568,True
29,9.720658302307129,11.627574091835333,83.80252838134766,True
30,9.896454811096191,20.636782711157124,31.063539505004883,True
31,9.451412200927734,10.18898556929179,164.57627868652344,True
32,9.332073211669922,11.536635552711461,200.378173828125,True
33,9.8057861328125,9.901191181326675,58.26407241821289,True
34,9.857080459594727,54.48518209017037,42.87589645385742,True
35,9.892861366271973,23.281227926262535,32.141502380371094,True
36,9.024455070495605,44.21802866064939,292.6633605957031,True
37,9.160335540771484,16.557263167204276,251.89923095703125,True
38,9.07669448852539,19.148221435155456,276.9916687011719,True
39,9.523855209350586,22.57960931561175,142.84332275390625,True
40,9.637887954711914,20.58731126629755,108.63370513916016,True
41,9.684610366821289,10.646182777409916,94.61688995361328,True
42,9.972363471984863,15.988259042575182,8.290976524353027,True
43,9.910652160644531,11.61411998408818,26.80422592163086,True
44,9.736893653869629,64.70413577570892,78.93204498291016,True
45,9.044698715209961,33.33824664156217,286.5904846191406,True
46,9.72704029083252,9.6814843864438,81.88796997070312,True
47,9.930415153503418,84.78341323605162,20.875381469726562,True
48,9.185293197631836,26.813659304636296,244.41200256347656,True
49,9.74295711517334,10.045930669185449,77.11278533935547,True
50,9.917694091796875,25.5555961643901,24.691755294799805,True
51,9.705763816833496,20.34523336035794,88.27072143554688,True
52,9.965380668640137,20.749352591892432,10.385844230651855,True
53,9.694192886352539,25.701454620445574,91.74220275878906,True
54,9.392277717590332,20.063089816841835,182.3167266845703,True
55,9.566896438598633,25.249573015419752,129.93109130859375,True
56,9.081106185913086,29.143196126650707,275.66815185546875,True
57,9.26848030090332,49.727226427615335,219.45603942871094,True
58,9.820131301879883,22.30095482142498,53.96059036254883,True
59,9.626069068908691,11.99719029286545,112.17940521240234,True
60,9.222491264343262,48.20161782711615,233.25250244140625,True
61,9.56249713897705,20.298267767973368,131.2507781982422,True
62,9.571524620056152,12.928479170879006,128.54257202148438,True
63,9.570319175720215,20.041871117027753,128.9041748046875,True
