timestep,reward,resulting_max_loading,mw_amount,converged
1,9.07779312133789,18.537295365359093,276.6619873046875,True
2,9.091075897216797,21.16984600416219,272.6773376464844,True
3,9.615582466125488,53.32360743140233,115.32540130615234,True
4,9.960925102233887,95.59965158870256,11.722487449645996,True
5,9.773704528808594,12.085329105102653,67.8885726928711,True
6,9.212870597839355,10.039148879439939,236.13888549804688,True
7,9.073577880859375,27.37298275141787,277.9266052246094,True
8,9.596162796020508,41.552519013945584,121.151123046875,True
9,9.977883338928223,26.12111818711161,6.634944915771484,True
10,9.075546264648438,14.491112868276526,277.336181640625,True
11,9.188185691833496,13.898340425972519,243.54434204101562,True
12,9.433626174926758,53.105488449507675,169.91212463378906,True
13,9.434093475341797,24.795105246369754,169.77183532714844,True
14,9.660480499267578,31.94790710828875,101.85586547851562,True
15,9.786415100097656,41.48843932863941,64.07537078857422,True
16,9.766282081604004,17.214310218066178,70.1154556274414,True
17,9.028496742248535,41.47192421574242,291.450927734375,True
18,9.959818840026855,19.284392024104744,12.05441951751709,True
19,9.917098999023438,51.77502729299027,24.870264053344727,True
20,9.182571411132812,21.30125155604749,245.22850036621094,True
21,9.246458053588867,25.602510273241073,226.06253051757812,True
22,9.07170295715332,44.092813176687415,278.4892272949219,True
23,9.177988052368164,12.78775197701262,246.6034698486328,True
24,9.43159008026123,11.52992894901424,170.52296447753906,True
25,9.87957763671875,27.798081952434277,36.12665557861328,True
26,9.874638557434082,45.30562020484137,37.608360290527344,True
27,9.780899047851562,31.35275133618532,65.7302474975586,True
28,9.098939895629883,24.48398263088088,270.3179626464844,True
29,9.662894248962402,18.440621288415894,101.13166809082031,True
30,9.149614334106445,19.950767676065905,255.11558532714844,True
31,9.119362831115723,23.26696925028277,264.191162109375,True
32,9.599655151367188,11.299294387865183,120.10348510742188,True
33,9.443958282470703,75.52561736552103,166.81248474121094,True
34,9.519451141357422,33.9508186047395,144.1645965576172,True
35,9.548310279846191,49.79630749864644,135.50694274902344,True
36,9.7803373336792,79.31548128935536,65.89885711669922,True
37,-2.309372901916504,105.14219889766494,296.1787109375,True
38,9.344268798828125,9.695498534661356,196.71942138671875,True
39,9.611900329589844,49.707878339606005,116.42984008789062,True
40,9.135550498962402,13.678589493171659,259.3348388671875,True
41,9.148104667663574,9.895721703258946,255.5687255859375,True
42,9.842123031616211,14.309980536090935,47.36320495605469,True
43,9.435797691345215,59.153165305394516,169.26065063476562,True
44,9.190469741821289,57.71725043466935,242.85919189453125,True
45,9.041374206542969,19.145679170611075,287.587646484375,True
46,9.808351516723633,25.47425875085974,57.494632720947266,True
47,9.117284774780273,12.668911284294577,264.81451416015625,True
48,9.327811241149902,9.751669317075514,201.65655517578125,True
49,9.315130233764648,18.034627549210875,205.4608154296875,True
50,9.55898380279541,29.379122880305125,132.30482482910156,True
51,9.773496627807617,15.599717200171975,67.95088958740234,True
52,9.192482948303223,67.98954469212156,242.2550506591797,True
53,9.68528938293457,15.280625758289018,94.41329193115234,True
54,9.960968017578125,30.478278680542164,11.70949649810791,True
55,9.097430229187012,20.88712143021829,270.7709045410156,True
56,9.345499992370605,38.52645132321796,196.3499298095703,True
57,9.568718910217285,41.79615771233578,129.38427734375,True
58,9.440369606018066,23.67703073537861,167.8892364501953,True
59,9.743999481201172,61.53490279375756,76.8002700805664,True
60,9.336040496826172,17.479217497677364,199.18772888183594,True
61,9.358070373535156,92.9739119532272,192.578857421875,True
62,9.268423080444336,55.270390023184405,219.4729461669922,True
63,9.46020221710205,14.908194462323724,161.93922424316406,True
64,9.04089641571045,15.504886814326543,287.7310485839844,True
65,9.849820137023926,18.583194072298475,45.053993225097656,True
